Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Acceptance),Custom field (Development),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Custom field (Vulnerability),Custom field (Vulnerability),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Delegate this work item to Claude,SCRUM-4,10003,Subtask,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,27/Aug/26 3:50 AM,27/Aug/26 3:50 AM,,,06/Sep/26 12:00 AM,0,,"*Ask Claude to add a short ""Hello, world!"" section to the README of any repo you have access to.*

*Instructions for coding agent*

# Add a short section to the repository README titled AI Agent Test.
# Include a brief sentence confirming this change was created as part of a Jira → Coding Agent delegation test.
# Create a branch, commit the change and open a draft pull request.
# Leave a comment on the Jira task with a link to the draft PR.
# Do not modify production code or configuration files.

{panel:bgColor=#deebff}
Try this after you've connected Claude to Jira.
{panel}

_This is a sample task to help you try the agentic development workflow. Once done, you'll have seen how Jira hands work off to a coding agent and gets a pull request back._

----

*Collaborating with agents:*

There are [many ways|https://support.atlassian.com/jira-software-cloud/docs/collaborate-on-work-items-with-ai-agents/] to collaborate with agents in Jira. You can delegate this work item to a coding agent in one of two ways:

*Option 1: Manually*

Open the *Agent* field on this work item and select your coding agent.
[https://www.loom.com/share/ded8d8c3ed724ff38d7726c589443076|https://www.loom.com/share/ded8d8c3ed724ff38d7726c589443076|smart-embed]

*Option 2: Automatically*

Select the agent icon at the top of a column to add the agent to your board. Then, move this card to that column on your board to delegate it to your coding agent automatically.
[https://www.loom.com/share/ebe7dde8e7ae4b4583ba9b18af317ffd|https://www.loom.com/share/ebe7dde8e7ae4b4583ba9b18af317ffd|smart-embed]

----

*Instructions:*

Once this work item’s been delegated to your agent:

# In the agent panel, select the repo you want the agent to work in.
# Monitor the agent panel for status updates and comments.
# When the draft PR is created, review the changes in GitHub.
# Merge or close the PR after verification.",,Ahmed Usama,5c799b6ac6a45773be60511a,,,,,,,,,,,,0|i0000n:,,,,,,,,,,To Do,27/Aug/26 3:50 AM
Implement this work item from your IDE or terminal,SCRUM-5,10004,Subtask,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,27/Aug/26 3:50 AM,27/Aug/26 3:50 AM,,,11/Sep/26 12:00 AM,0,,"*Ask a coding agent to add a short ""Hello, world!"" section to the README of any repo you have access to.*

*Instructions for coding agent*

# Add a short section to the repository README titled AI Agent Test
# Include a brief sentence confirming this change was created from a Jira work item
# Commit the change, open a draft pull request, and post status updates back to Jira
# Do not modify production code or configuration files

{panel:bgColor=#deebff}
Try this after you've connected Atlassian Rovo MCP Server to your IDE or set up the Teamwork Graph CLI in your terminal.
{panel}

_This is a sample task to walk you through opening a Jira work item in your local dev tools and letting your agent implement it end to end._

----

*If you’re using Atlassian Rovo MCP:*

# In the *Development* panel on this work item, select your IDE from the dropdown.
# Follow the prompt to open this work item in your editor.
# Ask your agent: _Implement this Jira work item_. The agent will read the description and make the change.
# Review the diff, commit, and open a pull request from your editor.
# Head back to this work item. Your linked pull request will appear in the agent panel.

*If you’re using Teamwork Graph CLI:*

# In your terminal, ask your agent: _Implement this Jira work item_ – include the work item URL or ID as context.
# The agent will read the description and make the change.
# Review the diff and merge or close the PR.
# Head back to this work item. Your linked pull request will appear in the agent panel.",,Ahmed Usama,5c799b6ac6a45773be60511a,,,,,,,,,,,,0|i0000v:,,,,,,,,,,To Do,27/Aug/26 3:50 AM
Technical Foundation,SCRUM-6,10037,Epic,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_foundation,Cross-cutting technical conditions every story must satisfy. Not user-facing features.,,,,0,0,0,,0,0,0,,,,,0|i00013:,,,,,,,,,,To Do,
Customer Management,SCRUM-8,10045,Epic,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1,"Create, find, and maintain customer records with history, notes, and attachments.

Source features: 1.1-1.4",,,,0,0,0,,0,0,0,,,,,0|i0002v:,,,,,,,,,,To Do,
Ticket Management,SCRUM-9,10046,Epic,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1,"Full ticket lifecycle: creation, categorisation, assignment, conversation, status transitions, history.

Source features: 2.1-2.5",,,,0,0,0,,0,0,0,,,,,0|i00033:,,,,,,,,,,To Do,
Agent Dashboard,SCRUM-10,10038,Epic,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1,"Agent home surface: workload at a glance and customer context in-ticket.

Source features: 4.1, 4.2, 4.5",,,,0,0,0,,0,0,0,,,,,0|i0001b:,,,,,,,,,,To Do,
Customer Notification Loop,SCRUM-11,10058,Epic,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,High,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1,"Outbound notifications, magic-link status page, and CSAT capture. No customer login.

Source features: 3.1a, 5.4a, 8.2a, 8.5a",,,,0,0,0,,0,0,0,,,,,0|i0005r:,,,,,,,,,,To Do,
TF-01 Localisation & RTL,SCRUM-12,10039,Task,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_foundation_feat-12.1,"Arabic and English throughout, with full right-to-left layout. RTL is delivered as part of localisation, not separately — a locale switch that does not mirror the layout is an incomplete implementation.",,,,0,0,0,,0,0,0,,"- Every user-facing string sourced from translation files; no hardcoded literals
- Language switches instantly with no app restart
- Selected locale persists across restarts
- No LTR flash on cold start in Arabic — locale resolves before first paint
- Layout mirrors horizontally when Arabic is active
- Directional icons (back, chevron) mirror; non-directional (attachment, camera) do not
- Arabic strings do not clip or overflow in buttons, pills, or rows
- Numbers and dates format per locale
- Components use logical properties (marginStart) — never marginLeft/marginRight",,,0|i0001j:,,,8.0,,,,10037,SCRUM-6,Technical Foundation,To Do,
TF-02 Theming — light & dark,SCRUM-13,10040,Task,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,29/Aug/26 1:55 AM,,,0,phase-1_foundation,"Both themes available across the app, driven by semantic tokens.",,,,0,0,0,,0,0,0,,"- System preference applied on first launch
- Manual override persists across restart
- Theme switches instantly with no restart
- All text and interactive elements meet WCAG AA contrast in both themes
- Status and priority colors remain distinguishable in both themes
- No hardcoded color literals anywhere in component code",,,0|i0001r:,,,5.0,,,,10037,SCRUM-6,Technical Foundation,To Do,
TF-03 Adaptive layout — phone & tablet,SCRUM-14,10047,Task,To Do,SCRUM,My Software Team,software,Ahmed Usama,5c799b6ac6a45773be60511a,,Highest,,,,Ahmed Usama,5c799b6ac6a45773be60511a,Ahmed Usama,5c799b6ac6a45773be60511a,29/Aug/26 12:01 AM,29/Aug/26 12:01 AM,,,,0,phase-1_foundation_feat-12.2,"One codebase serving both form factors, branching on viewport width.",,,,0,0,0,,0,0,0,,"- Viewport <600pt renders stacked single-pane navigation
- Viewport ≥600pt renders master–detail on Tickets and Customers
- Both orientations supported
- Rotation preserves scroll position and selection
- Layout branches on width, never on device type detection
- Primary actions remain within thumb reach on phone",,,0|i0003b:,,,5.0,,,,10037,SCRUM-6,Technical Foundation,To Do,
